PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE,PRECO,LINK
Egeo Dolce,EGEO,F,Floral / Cítrico,Noite,Dia a dia,Versátil,Inverno / Outono,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-dolce-desodorante-colonia-90ml-v2/
Egeo Cogu,EGEO,U,Cítrico Amadeirado,Versátil,Dia a dia,Livre / Ousada,Todas estações,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-cogu-desodorante-colonia-90ml/
Egeo Vanilla Vibe,EGEO,F,Floral,Versátil,Dia a dia,Versátil,Todas estações,menor que 200,moderada,154.90,https://www.boticario.com.br/egeo-vanilla-vibe-desodorante-colonia-90ml/
Egeo Cherry Blast,EGEO,U,Floral Frutal,Noite,Dia a dia,Otimista / Diária,Todas estações,menor que 200,moderada,154.90,https://www.boticario.com.br/egeo-cherry-blast-desodorante-colonia-90ml/
Egeo Choc High,EGEO,F,Chypre Floral,Noite,Eventos Formais / Noite,Luxuosa / Marcante,Inverno / Outono,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-choc-high-desodorante-colonia-90ml/
Egeo Cogu Mellow,EGEO,F,Chypre Gourmand,Versátil,Eventos Formais / Noite,Luxuosa / Marcante,Todas estações,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-cogu-mellow-desodorante-colonia-90ml/
Egeo Pina Blast,EGEO,U,Amadeirado Gourmand,Dia,Noite / Encontros,Criativa / Moderna,Todas estações,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-pina-blast-desodorante-colonia-90ml/
L'eau de lily,LILY,F,Floral Amadeirado,Dia,Dia / Noite,Romântica / Ousada,Todas estações,maior que 200,moderada,209.90,https://www.boticario.com.br/leau-de-lily-desodorante-colonia-75ml/
Lily L'eau de Blanche,LILY,F,Floral Ambarado,Dia,Dia / Noite,Luxuosa,Todas estações,maior que 200,moderada,209.90,https://www.boticario.com.br/leau-de-lily-blanche-desodorante-colonia-75ml/
Lily Leau de Soleil,LILY,F,Floriental Amadeirado,Dia,Dia / Noite,Charmosa / Elegante,Todas estações,maior que 200,moderada,209.90,https://www.boticario.com.br/leau-de-lily-solei-desodorante-colonia-75ml/
Lily Lumière,LILY,F,Chypre Amadeirado,Noite,Dia / Noite,Charmosa / Elegante,Todas estações,maior que 200,moderada,309.90,https://www.boticario.com.br/lily-lumiere-eau-de-parfum-75ml/
Lily,LILY,F,Floriental,Versátil,Dia / Noite,Charmosa / Elegante,Todas estações,maior que 200,moderada,309.90,https://www.boticario.com.br/lily-eau-de-parfum-75ml/
Lily Absolut,LILY,F,Floriental,Versátil,Dia / Noite,Charmosa / Elegante,Todas estações,maior que 200,moderada,309.90,https://www.boticario.com.br/lily-absolu-eau-de-parfum-75ml/
Lily Love,LILY,F,Floriental,Dia,Dia / Noite,Charmosa / Elegante,Todas estações,maior que 200,moderada,309.90,https://www.boticario.com.br/love-lily-eau-de-parfum-75ml-v2/
Lily Gardênia,LILY,F,Floral Aldeídico,Versátil,Trabalho / Eventos Culturais,Clássica / Artística,Todas estações,maior que 200,leve/ alta,309.90,https://www.boticario.com.br/lily-gardenia-eau-de-parfum-75ml/
Floratta Simple Love,FLORATTA,F,Floral Frutal (Abacaxi),Dia,Verão / Dia,Jovem / Divertida,Todas estações,menor que 200,moderada,159.90,https://www.boticario.com.br/floratta-simple-love-desodorante-colonia-75ml/
Floratta My Blue,FLORATTA,F,Floral Frutal,Versátil,Verão / Dia,Apaixonada,Todas estações,menor que 200,moderada,159.90,https://www.boticario.com.br/floratta-my-blue-desodorante-colonia-75ml/
Floratta Rose,FLORATTA,F,Oriental Frutal,Dia,Jantar / Noite,Misteriosa / Sedutor,Verão / primavera,menor que 200,moderada,159.90,https://www.boticario.com.br/floratta-rose-desodorante-colonia-75ml-v2/
Floratta Rose Bouquet,FLORATTA,F,Oriental Frutal,Dia,Noite / Encontros,Sedutora / Envolvente,Verão / primavera,menor que 200,leve/ alta,159.90,https://www.boticario.com.br/floratta-rose-bouquet-desodorante-colonia-75ml/
Floratta Cerejeira Em Flor,FLORATTA,F,Oriental Especiado,Dia,Noite / Encontros,Sedutora / Envolvente,Verão / primavera,menor que 200,leve/ alta,159.90,https://www.boticario.com.br/floratta-cerejeira-em-flor-desodorante-colonia-75ml-v2/
Celebre Sua Força,CELEBRE,F,Floriental Frutal,Dia,Noite / Encontros,Sedutora / Romântica,Verão / primavera,menor que 200,leve/ alta,109.90,https://www.boticario.com.br/celebre-sua-forca-desodorante-colonia-masculino-100ml/
