PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE,PRECO,LINK
Coffee Man Unique,COFFEE,M,Amadeirado Frutal,Versatil,Noite / Ocasiões Especiais,Atraente,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-man-unique-fougere-oriental-desodorante-colonia-100ml/
Egeo Beat,EGEO,M,Fougère Aromático,Dia,Noite / Eventos Especiais,Sofisticado / Elegante,Inverno / Outono,menor que 200,alta/ Muito alta,135.00,https://www.mercadolivre.com.br/egeo-beat-deo-colnia-masculino-boticario-90ml-volume-da-unidade-90-ml/p/MLB18731266
Egeo Blue,EGEO,M,Oriental Especiado,Noite,Dia a dia / Academia / Clima quente / Pós-banho,Sensual / Versátil,Todas estações,menor que 200,alta/ Muito alta,154.90,https://www.boticario.com.br/egeo-blue-desodorante-colonia-90ml-v2/
Egeo Bomb Black,EGEO,M,Amadeirado,Dia,Noite / Eventos Especiais,Sofisticado / Elegante,Todas estações,menor que 200,alta/ Muito alta,154.90,https://www.boticario.com.br/egeo-bomb-black-desodorante-colonia-90ml-v2/
Egeo Original,EGEO,M,Amadeirado Aromático,Dia,Noite / Ocasiões Especiais,Confiante / Líder,Inverno / Outono,menor que 200,alta/ Muito alta,154.90,https://www.boticario.com.br/egeo-original-desodorante-colonia-90ml-v3/
Egeo Spicy Vibe,EGEO,M,Amadeirado Especiado,Versatil,Noite / Ocasiões Especiais,Misterioso,Inverno / Outono,menor que 200,alta/ Muito alta,154.90,https://www.boticario.com.br/egeo-spicy-vibe-desodorante-colonia-90ml/
Malbec,MALBEC,M,Fougère Fresco,Dia,Lazer / Natureza / Dia,Aventureiro / Livre,Todas estações,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/malbec-desodorante-colonia-100ml-v2/
Malbec Absoluto,MALBEC,M,Fougère Amadeirado,Versatil,Encontros / Noite,Sedutor / Moderno,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://minhaloja.boticario.com.br/walmaria/produto/75210
Malbec Black,MALBEC,M,Oriental Ambarado,Versatil,Encontros / Noite,Sedutor / Moderno,Inverno / Outono,maior que 200,alta/ Muito alta,249.90,https://www.boticario.com.br/malbec-black-desodorante-colonia-100ml-v2/
Malbec Bleu,MALBEC,M,Fougère Fresco,Versatil,Lazer / Natureza / Dia,Aventureiro / Livre,Verão / primavera,maior que 200,moderada,219.90,https://www.boticario.com.br/malbec-bleu-desodorante-colonia-100ml/
Malbec Gold,MALBEC,M,Oriental Ambarado,Dia,Encontros / Noite,Sedutor / Moderno,Inverno / Outono,maior que 200,alta/ Muito alta,239.90,https://www.boticario.com.br/malbec-gold-desodorante-colonia-100ml-v3/
Malbec Icon,MALBEC,M,Fougère Aromático,Noite,Lazer / Natureza / Dia,Aventureiro / Livre,Verão / primavera,maior que 200,moderada,209.90,https://www.boticario.com.br/malbec-icon-desodorante-colonia-100ml/
Malbec Magnetic,MALBEC,M,Fougère Fresco,Versatil,Lazer / Natureza / Dia,Aventureiro / Livre,Verão / primavera,maior que 200,moderada,239.90,https://www.boticario.com.br/malbec-magnetic-desodorante-colonia-100ml-v3/
Malbec Noir,MALBEC,M,Oriental Amadeirado,Dia,Encontros / Noite,Sedutor / Moderno,Inverno / Outono,maior que 200,alta/ Muito alta,249.90,https://www.boticario.com.br/malbec-noir-desodorante-colonia-100ml-v2/
Malbec Signature,MALBEC,M,Oriental Ambarado,Versatil,Encontros / Noite,Sedutor / Moderno,Inverno / Outono,maior que 200,alta/ Muito alta,349.90,https://www.boticario.com.br/malbec-signature-eau-de-parfum-90ml/
